gene_id,s_dmso,s_drb_1,s_flavopiridol_2,s_triptolide_3
AALF001567,0,0,0,0
AALF001572,701,327,216,326
AALF001573,382,356,248,323
AALF001574,39,53,32,68
AALF001575,11,2,0,0
AALF001576,339,91,52,18
AALF001577,0,0,0,0
AALF001578,9,8,3,6
AALF001579,0,0,0,0
AALF001581,0,0,0,0
AALF001582,0,0,0,0
AALF001583,61,39,30,29
AALF001584,62,36,24,11
AALF001590,0,0,0,0
AALF001591,0,0,0,0
AALF001592,0,0,0,0
AALF001593,1,3,0,0
AALF001594,0,0,0,0
AALF001595,7,2,1,6
AALF001596,23,14,6,2
AALF001597,0,0,0,0
AALF001600,20,14,14,1
AALF001601,6,2,3,2
AALF001602,167,159,122,33
AALF001604,12,14,14,11
AALF001605,39,39,12,28
AALF001606,0,0,0,0
AALF001607,0,0,0,0
AALF001608,1,0,0,0
AALF001609,0,0,0,0
AALF001610,0,0,0,0
AALF001611,0,0,0,0
AALF001612,0,0,0,0
AALF001615,0,0,0,0
AALF001616,0,0,0,0
AALF001617,0,0,0,0
AALF001618,0,0,0,0
AALF001619,0,0,0,0
AALF001620,0,0,0,0
AALF001621,0,0,0,0
AALF001622,0,0,0,0
AALF001627,0,0,0,0
AALF001629,296,371,245,341
AALF001630,241,226,138,168
AALF001631,6,4,0,2
AALF001632,0,0,0,0
AALF001633,9,5,4,1
AALF001635,92,53,31,10
AALF001636,598,325,154,190
AALF001637,4883,5259,3668,4673
AALF001639,1,0,0,0
AALF001641,0,0,0,1
AALF001643,0,0,0,0
AALF001644,0,0,0,0
AALF001645,184,301,157,223
AALF001646,233,382,322,471
AALF001647,0,0,0,0
AALF001648,335,820,368,214
AALF001649,869,1266,763,1193
AALF001650,395,220,179,324
AALF001651,233,132,84,107
AALF001652,14,8,6,15
AALF001653,0,0,0,0
AALF001660,0,0,0,0
AALF001664,0,0,0,0
AALF001665,0,0,0,0
AALF001666,0,0,0,0
AALF001667,4,2,8,1
AALF001668,0,0,0,0
AALF001669,0,0,0,0
AALF001670,1550,1960,1272,1852
AALF001680,13,3,0,4
AALF001687,0,0,0,0
AALF001688,0,0,0,0
