gene_ID,dmso,drb,flavopiridol,triptolide
AALF001223-RA,0,0,0,0
AALF001224-RA,0,0,0,0
AALF001232-RA,5,4,2,2
AALF001233-RA,1,0,0,0
AALF001234-RA,2,1,1,1
AALF001235-RA,0,1,2,2
AALF001245-RA,50,55,46,6
AALF001246-RA,73,26,14,12
AALF001249-RA,0,0,0,0
AALF001257-RA,8,3,0,0
AALF001258-RA,0,0,1,0
AALF001259-RA,0,0,0,2
AALF001260-RA,1,1,0,0
AALF001261-RA,6,0,1,0
AALF001269-RA,1,3,2,3
AALF001271-RA,125,34,24,26
AALF001277-RA,5,4,3,0
AALF001278-RA,41,13,13,9
AALF001282-RA,0,0,0,0
AALF001286-RA,0,0,0,0
AALF001293-RA,0,1,3,1
AALF001302-RA,0,0,0,0
AALF001303-RA,7,2,2,0
AALF001314-RA,1,0,0,1
AALF001315-RA,18,25,7,26
AALF001316-RA,18,10,3,7
AALF001317-RA,0,0,0,0
AALF001319-RA,74,91,58,66
AALF001320-RA,0,0,0,0
AALF001321-RA,5,4,4,1
AALF001322-RA,178,149,88,163
AALF001324-RA,188,177,126,149
AALF001330-RA,0,1,0,0
AALF001331-RA,2,1,3,2
AALF001333-RA,6,14,9,4
AALF001335-RA,1,0,0,0
AALF001336-RA,158,58,46,43
AALF001337-RA,1,1,0,0
AALF001340-RA,37,27,31,27
AALF001341-RA,0,0,0,0
AALF001345-RA,7,6,2,5
AALF001347-RA,0,0,0,2
AALF001351-RA,42,13,5,10
AALF001353-RA,0,1,0,0
AALF001355-RA,42,29,23,27
AALF001356-RA,76,90,69,91
AALF001358-RA,11,4,0,2
AALF001359-RA,0,0,0,0
AALF001360-RA,3,0,0,0
AALF001363-RA,0,0,0,0
AALF001365-RA,14,23,10,22
AALF001366-RA,0,0,0,0
AALF001367-RA,1,0,0,0
AALF001369-RA,5,0,1,0
AALF001370-RA,0,1,0,0
AALF001371-RA,0,0,0,0
AALF001372-RA,1,0,2,0
AALF001373-RA,0,0,0,0
AALF001374-RA,0,1,1,1
AALF001376-RA,1,0,0,0
AALF001379-RA,0,0,0,0
AALF001381-RA,0,0,0,0
AALF001382-RA,0,0,0,0
AALF001384-RA,0,0,0,0
AALF001385-RA,0,0,0,0
AALF001387-RA,0,0,0,0
AALF001388-RA,0,0,0,0
AALF001389-RA,0,0,0,0
AALF001390-RA,0,1,1,2
AALF001391-RA,0,0,0,0
AALF001399-RA,76,44,22,24
AALF001400-RA,0,0,0,0
AALF001401-RA,0,0,0,0
AALF001408-RA,2,1,2,1
AALF001422-RA,0,0,0,0
AALF001423-RA,5,4,2,7
AALF001424-RA,0,0,0,0
AALF001425-RA,13,6,7,5
AALF001427-RA,0,0,0,0
AALF001428-RA,8,3,2,4
AALF001439-RA,130,18,14,1
AALF001440-RA,96,56,56,44
AALF001441-RA,18,9,8,2
AALF001442-RA,1,0,0,1
AALF001443-RA,0,0,0,0
AALF001449-RA,84,65,27,0
AALF001458-RA,0,0,0,0
AALF001465-RA,68,45,17,21
AALF001474-RA,1,4,0,0
AALF001475-RA,7,15,19,4
AALF001476-RA,21,4,3,6
AALF001477-RA,1,1,0,2
AALF001478-RA,18,22,12,18
AALF001479-RA,3,1,0,1
AALF001480-RA,0,0,0,0
AALF001481-RA,13,5,4,1
AALF001482-RA,13,7,6,6
AALF001483-RA,1,0,0,0
AALF001486-RA,1,2,1,0
AALF001488-RA,2,0,3,0
AALF001490-RA,2,0,0,0
AALF001499-RA,5,11,20,12
AALF001500-RA,0,0,0,0
AALF001501-RA,5,1,0,1
AALF001503-RA,3,3,0,2
AALF001504-RA,0,0,0,0
AALF001505-RA,45,45,33,26
AALF001507-RA,2,4,1,0
AALF001508-RA,1,0,0,0
AALF001509-RA,33,17,9,15
AALF001510-RA,0,0,0,0
AALF001519-RA,0,0,0,0
AALF001520-RA,2,2,0,7
AALF001530-RA,0,0,0,0
AALF001538-RA,1,1,0,0
AALF001540-RA,0,0,0,0
AALF001547-RA,0,0,0,0
AALF001548-RA,0,0,0,0
AALF001549-RA,75,31,27,34
AALF001553-RA,0,0,0,2
AALF001556-RA,11,4,15,14
AALF001558-RA,2,0,1,0
AALF001560-RA,0,0,0,0
AALF001563-RA,0,0,0,0
AALF001565-RA,23,26,16,26
AALF001566-RA,4,5,5,5
AALF001567-RA,0,0,0,0
AALF001572-RA,487,239,222,306
AALF001573-RA,90,98,56,70
AALF001575-RA,1,1,0,0
AALF001576-RA,112,33,60,5
AALF001578-RA,2,3,1,2
AALF001579-RA,1,1,1,1
AALF001581-RA,0,0,0,0
AALF001583-RA,50,29,25,23
AALF001584-RA,18,11,7,0
AALF001590-RA,0,0,0,0
AALF001591-RA,0,0,0,0
AALF001592-RA,0,0,0,0
AALF001593-RA,1,1,0,0
AALF001594-RA,0,0,0,7
AALF001595-RA,1,0,0,1
AALF001597-RA,5,1,1,10
AALF001600-RA,9,0,3,4
AALF001601-RA,7,0,2,3
AALF001602-RA,21,20,18,4
AALF001604-RA,0,1,0,0
AALF001605-RA,0,0,0,0
AALF001606-RA,0,0,0,0
AALF001607-RA,0,0,0,0
AALF001608-RA,0,0,0,0
AALF001609-RA,0,0,0,0
AALF001610-RA,0,0,0,0
AALF001611-RA,0,0,0,0
AALF001612-RA,0,0,0,0
AALF001615-RA,0,0,0,0
AALF001621-RA,2,0,0,1
AALF001629-RA,113,146,100,149
AALF001630-RA,26,29,19,24
AALF001631-RA,0,0,0,0
AALF001633-RA,3,1,3,0
AALF001635-RA,14,17,11,3
AALF001636-RA,158,74,45,45
AALF001637-RA,626,717,489,601
AALF001639-RA,3,0,1,0
AALF001641-RA,0,0,0,0
AALF001643-RA,0,0,0,0
AALF001644-RA,0,0,0,0
AALF001645-RA,28,43,30,35
AALF001646-RA,106,177,93,149
AALF001648-RA,90,198,81,60
AALF001649-RA,365,553,294,498
AALF001650-RA,41,18,18,23
AALF001651-RA,14,7,8,12
AALF001652-RA,2,1,0,4
AALF001664-RA,0,0,0,0
AALF001665-RA,0,0,0,0
AALF001667-RA,1,0,0,0
AALF001668-RA,0,0,0,0
AALF001669-RA,1,0,0,0
AALF001670-RA,521,654,506,722
AALF001687-RA,0,0,0,0
AALF001688-RA,0,0,0,0
AALF001689-RA,1,0,2,1
AALF001690-RA,0,0,0,0
AALF001691-RA,0,0,0,0
AALF001692-RA,0,0,0,0
AALF001693-RA,0,0,0,0
AALF001694-RA,0,0,0,0
AALF001695-RA,0,0,0,0
AALF001696-RA,0,0,0,0
AALF001697-RA,0,0,0,0
AALF001698-RA,2,2,0,0
AALF001701-RA,0,0,0,0
AALF001702-RA,9,6,3,5
AALF001704-RA,14,15,28,11
AALF001707-RA,8,2,3,1
AALF001708-RA,0,1,0,0
AALF001709-RA,5,3,2,3
AALF001713-RA,6,5,4,3
AALF001715-RA,3,2,1,2
AALF001716-RA,4,0,0,0
AALF001717-RA,3,2,0,2
AALF001725-RA,0,0,0,0
AALF001726-RA,8,4,0,2
AALF001727-RA,3,11,8,2
AALF001734-RA,12,15,7,12
AALF001738-RA,0,0,0,0
AALF001740-RA,0,0,0,0
AALF001744-RA,0,1,0,0
AALF001745-RA,1,3,1,2
AALF001746-RA,0,0,0,0
AALF001757-RA,0,0,0,0
AALF001759-RA,6,8,0,4
AALF001760-RA,1,3,1,4
AALF001765-RA,3,0,0,0
AALF001766-RA,12,2,2,0
AALF001767-RA,9,1,1,3
AALF001768-RA,0,0,0,0
AALF001769-RA,61,64,39,49
AALF001770-RA,37,12,10,8
AALF001771-RA,0,0,0,0
AALF001772-RA,7,2,3,1
AALF001773-RA,9,10,3,0
AALF001774-RA,0,0,0,0
AALF001775-RA,0,0,0,0
AALF001781-RA,0,0,0,0
AALF001790-RA,12,3,5,3
AALF001794-RA,1,1,0,0
AALF001795-RA,0,0,0,0
AALF001798-RA,1,0,1,0
AALF001801-RA,2,1,1,0
AALF001807-RA,0,1,0,0
AALF001814-RA,5,0,2,1
AALF001829-RA,0,0,0,1
AALF001833-RA,4,0,0,0
AALF001849-RA,46,17,6,14
AALF001850-RA,0,0,0,0
AALF001851-RA,0,0,0,0
AALF001852-RA,0,0,1,0
AALF001855-RA,0,0,0,0
AALF001876-RA,0,0,0,0
AALF001877-RA,3,0,3,3
AALF001878-RA,3,1,3,1
AALF001879-RA,15,6,4,2
AALF001881-RA,32,8,13,4
AALF001887-RA,11,40,22,32
AALF001889-RA,0,0,2,0
AALF001917-RA,0,0,0,0
AALF001918-RA,20,5,4,1
AALF001919-RA,3,3,0,0
AALF001920-RA,0,0,0,0
AALF001921-RA,81,70,67,54
AALF001922-RA,2,0,1,0
AALF001923-RA,44,28,23,24
AALF001932-RA,0,0,0,0
AALF001936-RA,0,0,0,0
AALF001937-RA,0,0,0,1
AALF001938-RA,3,1,0,0
AALF001940-RA,25,12,6,14
AALF001941-RA,197,308,196,289
AALF001943-RA,0,0,0,0
AALF001944-RA,24,12,5,9
AALF001946-RA,0,0,0,0
AALF001947-RA,3,1,0,1
AALF001948-RA,28,24,16,15
AALF001949-RA,14,6,4,4
AALF001952-RA,10,3,1,4
AALF001954-RA,43,36,47,3
AALF001955-RA,12,5,8,1
AALF001956-RA,23,25,14,34
AALF001957-RA,28,17,15,15
AALF001960-RA,0,0,0,0
AALF001961-RA,0,0,1,0
AALF001962-RA,14,5,2,3
AALF001963-RA,12,4,2,4
AALF001969-RA,0,0,0,0
AALF001981-RA,0,0,0,0
AALF001989-RA,60,50,45,59
AALF001990-RA,0,0,0,1
AALF001992-RA,275,221,138,216
AALF002000-RA,0,2,1,2
AALF002001-RA,5,1,0,0
AALF002004-RA,404,128,136,153
AALF002006-RA,0,0,0,0
AALF002007-RA,0,0,0,0
AALF002009-RA,33,9,13,17
AALF002010-RA,5,3,1,0
AALF002017-RA,141,218,162,186
AALF002018-RA,11,1,0,1
AALF002022-RA,8,2,2,3
AALF002023-RA,7,2,3,0
AALF002024-RA,13,3,5,1
AALF002025-RA,2,1,1,0
AALF002026-RA,14,3,3,2
AALF002027-RA,3,9,1,1
AALF002028-RA,19,14,16,9
AALF002029-RA,33,5,7,5
AALF002030-RA,3,6,8,2
AALF002031-RA,1,0,0,1
AALF002033-RA,8,3,5,0
AALF002034-RA,0,0,2,0
AALF002044-RA,0,0,0,0
AALF002045-RA,2,7,1,5
AALF002046-RA,1,0,0,0
AALF002047-RA,41,21,36,27
AALF002048-RA,1,0,0,0
AALF002049-RA,2,0,1,0
AALF002058-RA,0,0,0,0
AALF002060-RA,1,0,0,0
AALF002062-RA,84,27,27,31
AALF002063-RA,0,1,0,1
AALF002065-RA,3,3,0,3
AALF002067-RA,3,0,0,0
AALF002076-RA,0,0,0,0
AALF002081-RA,0,0,0,0
AALF002082-RA,0,0,0,0
AALF002094-RA,0,0,1,2
AALF002095-RA,0,0,0,0
AALF002096-RA,0,0,0,0
AALF002097-RA,0,0,0,0
AALF002099-RA,0,1,0,0
AALF002100-RA,8,4,4,3
AALF002101-RA,23,18,10,18
AALF002102-RA,0,0,0,0
AALF002103-RA,0,1,0,0
AALF002108-RA,0,0,0,0
AALF002109-RA,2,1,1,1
AALF002110-RA,2,0,0,0
AALF002117-RA,1,0,0,0
AALF002118-RA,187,139,104,5
AALF002119-RA,2,2,0,3
AALF002130-RA,30,24,16,12
AALF002133-RA,1,2,0,0
AALF002134-RA,0,0,0,0
AALF002135-RA,10,7,5,7
AALF002143-RA,80,44,33,28
AALF002144-RA,6,6,1,5
AALF002147-RA,0,0,0,0
AALF002148-RA,0,0,0,0
AALF002149-RA,0,0,0,0
AALF002150-RA,0,0,0,0
AALF002154-RA,0,0,0,0
AALF002156-RA,14,6,4,6
AALF002158-RA,30,25,16,31
AALF002159-RA,2,1,2,1
AALF002160-RA,32,37,13,12
AALF002162-RA,20,14,7,10
AALF002163-RA,1,1,0,0
AALF002164-RA,0,0,0,0
AALF002165-RA,0,0,0,1
AALF002166-RA,3,5,0,5
AALF002167-RA,0,0,0,0
AALF002168-RA,25,15,19,21
AALF002176-RA,485,604,463,587
AALF002180-RA,0,0,0,0
AALF002181-RA,0,1,0,0
