virus	host	realm
Bacillus phage BeachBum	bacteria	Duplodnaviria
Bacillus phage Belinda	bacteria	Duplodnaviria
Bacillus phage BigBertha	bacteria	Duplodnaviria
Bacillus phage Blastoid	bacteria	Duplodnaviria
Bacillus phage Bobb	bacteria	Duplodnaviria
Bacillus phage Bp8p-C	bacteria	Duplodnaviria
Bacillus phage Bp8p-T	bacteria	Duplodnaviria
Bacillus phage BtCS33	bacteria	Duplodnaviria
Bacillus phage CAM003	bacteria	Duplodnaviria
Bacillus phage CP-51	bacteria	Duplodnaviria
Bacillus phage CampHawk	bacteria	Duplodnaviria
Bacillus phage Carmen17	bacteria	Duplodnaviria
Bacillus phage Claudi	bacteria	Duplodnaviria
Bacillus phage Curly	bacteria	Duplodnaviria
Bacillus phage DIGNKC	bacteria	Duplodnaviria
Bacillus phage DK1	bacteria	Duplodnaviria
Bacillus phage DK2	bacteria	Duplodnaviria
Bacillus phage DK3	bacteria	Duplodnaviria
Bacillus phage Deep Blue	bacteria	Duplodnaviria
Bacillus phage Deep-Purple	bacteria	Duplodnaviria
Bacillus phage DirtyBetty	bacteria	Duplodnaviria
Bacillus phage Eyuki	bacteria	Duplodnaviria
Bacillus phage Megatron	bacteria	Duplodnaviria
Bacillus phage SageFayge	bacteria	Duplodnaviria
Bacillus phage Eldridge	bacteria	Duplodnaviria
Bacillus phage Eoghan	bacteria	Duplodnaviria
Bacillus phage Fah	bacteria	Duplodnaviria
Bacillus phage Finn	bacteria	Duplodnaviria
Bacillus phage G	bacteria	Duplodnaviria
Bacillus phage GA1	bacteria	Duplodnaviria
Bacillus phage Gamma	bacteria	Duplodnaviria
Bacillus phage Glittering	bacteria	Duplodnaviria
Bacillus phage Grass	bacteria	Duplodnaviria
Bacillus phage Gxv1	bacteria	Duplodnaviria
Bacillus phage Harambe	bacteria	Duplodnaviria
Bacillus phage IEBH	bacteria	Duplodnaviria
Bacillus phage JBP901	bacteria	Duplodnaviria
Bacillus phage JL	bacteria	Duplodnaviria
Bacillus phage Juan	bacteria	Duplodnaviria
Bacillus phage Karezi	bacteria	Duplodnaviria
Bacillus phage Kida	bacteria	Duplodnaviria
Bacillus phage MG-B1	bacteria	Duplodnaviria
Bacillus phage Mater	bacteria	Duplodnaviria
Bacillus phage Moonbeam	bacteria	Duplodnaviria
Bacillus phage Nemo	bacteria	Duplodnaviria
Bacillus phage Nigalana	bacteria	Duplodnaviria
Bacillus phage NotTheCreek	bacteria	Duplodnaviria
Bacillus phage PBC1	bacteria	Duplodnaviria
Bacillus phage PM1	bacteria	Duplodnaviria
Bacillus phage Page	bacteria	Duplodnaviria
Bacillus phage Palmer	bacteria	Duplodnaviria
Bacillus phage Pascal	bacteria	Duplodnaviria
Bacillus phage Pavlov	bacteria	Duplodnaviria
Bacillus phage PfEFR-4	bacteria	Duplodnaviria
Bacillus phage PfEFR-5	bacteria	Duplodnaviria
Bacillus phage Phrodo	bacteria	Duplodnaviria
Bacillus phage Pony	bacteria	Duplodnaviria
Bacillus phage Pookie	bacteria	Duplodnaviria
Bacillus phage Riggi	bacteria	Duplodnaviria
Bacillus phage SIOphi	bacteria	Duplodnaviria
Bacillus phage SP-15	bacteria	Duplodnaviria
Bacillus phage SPBc2	bacteria	Duplodnaviria
Bacillus phage SPO1	bacteria	Duplodnaviria
Bacillus phage SPP1	bacteria	Duplodnaviria
Bacillus phage SerPounce	bacteria	Duplodnaviria
Bacillus phage Shanette	bacteria	Duplodnaviria
Bacillus phage Shbh1	bacteria	Duplodnaviria
Bacillus phage Slash	bacteria	Duplodnaviria
Bacillus phage Spock	bacteria	Duplodnaviria
Bacillus phage Stahl	bacteria	Duplodnaviria
Bacillus phage Staley	bacteria	Duplodnaviria
Bacillus phage Stills	bacteria	Duplodnaviria
Bacillus phage TP21-L	bacteria	Duplodnaviria
Bacillus phage Taylor	bacteria	Duplodnaviria
Bacillus phage Troll	bacteria	Duplodnaviria
Bacillus phage TsarBomba	bacteria	Duplodnaviria
Bacillus phage VMY22	bacteria	Duplodnaviria
Bacillus phage W.Ph.	bacteria	Duplodnaviria
Bacillus phage WBeta	bacteria	Duplodnaviria
Bacillus phage Waukesha92	bacteria	Duplodnaviria
Bacillus phage Zuko	bacteria	Duplodnaviria
Bacillus phage phIS3501	bacteria	Duplodnaviria
Bacillus phage phi105	bacteria	Duplodnaviria
Bacillus phage phi29	bacteria	Duplodnaviria
Bacillus phage phi4B1	bacteria	Duplodnaviria
Bacillus phage phi4J1	bacteria	Duplodnaviria
Bacillus phage phiAGATE	bacteria	Duplodnaviria
Bacillus phage phiCM3	bacteria	Duplodnaviria
Bacillus phage phiNIT1	bacteria	Duplodnaviria
Bacillus phage vB_BanS-Tsamsa	bacteria	Duplodnaviria
Bacillus phage vB_BboS-125	bacteria	Duplodnaviria
Bacillus phage vB_BceM_Bc431v3	bacteria	Duplodnaviria
Bacillus phage vB_BceS-MY192	bacteria	Duplodnaviria
Bacillus phage vB_BhaS-171	bacteria	Duplodnaviria
Bacillus phage vB_BmeM-Goe8	bacteria	Duplodnaviria
Bacillus phage vB_Bpu_PumA1	bacteria	Duplodnaviria
Bacillus phage vB_Bpu_PumA2	bacteria	Duplodnaviria
Bacillus phage vB_BsuM-Goe3	bacteria	Duplodnaviria
Bacillus phage vB_BsuP-Goe1	bacteria	Duplodnaviria
Bacillus phage vB_BtS_B83	bacteria	Duplodnaviria
Bacillus phage vB_BtS_BMBtp14	bacteria	Duplodnaviria
Bacillus phage vB_BtS_BMBtp2	bacteria	Duplodnaviria
Bacillus phage vB_BtS_BMBtp3	bacteria	Duplodnaviria
Bacillus phage vB_BveP-Goe6	bacteria	Duplodnaviria
Bacteriophage APSE-2	bacteria	Duplodnaviria
Bacteriophage K139	bacteria	Duplodnaviria
Vibrio phage Kappa	bacteria	Duplodnaviria
Bacteriophage Lily	bacteria	Duplodnaviria
Bacteriophage P2	bacteria	Duplodnaviria
Bacteroides phage B124-14	bacteria	Duplodnaviria
Bacteroides phage B40-8	bacteria	Duplodnaviria
Bacteroides phage DAC15	bacteria	Duplodnaviria
Bacteroides phage crAss001	bacteria	Duplodnaviria
Baylorvirus PHL101	bacteria	Duplodnaviria
Bdellovibrio phage phi1402	bacteria	Duplodnaviria
Bdellovibrio phage phi1422	bacteria	Duplodnaviria
Beecentumtrevirus B103	bacteria	Duplodnaviria
Beecentumtrevirus Nf	bacteria	Duplodnaviria
Beluga whale alphaherpesvirus 1	vertebrates	Duplodnaviria
Bifidobacterium phage BadAargau2	bacteria	Duplodnaviria
Bifidobacterium phage BadAztec1	bacteria	Duplodnaviria
Biseptimavirus bv77	bacteria	Duplodnaviria
Bordetella phage BPP-1	bacteria	Duplodnaviria
Bordetella phage vB_BbrM_PHB04	bacteria	Duplodnaviria
Bovine alphaherpesvirus 1	vertebrates	Duplodnaviria
Bovine herpesvirus type 1.1	vertebrates	Duplodnaviria
Bovine alphaherpesvirus 2	vertebrates	Duplodnaviria
Bovine alphaherpesvirus 5	vertebrates	Duplodnaviria
Bovine gammaherpesvirus 4	vertebrates	Duplodnaviria
Bovine gammaherpesvirus 6	vertebrates	Duplodnaviria
Brevibacillus phage Abouo	bacteria	Duplodnaviria
Brevibacillus phage Davies	bacteria	Duplodnaviria
Brevibacillus phage Jenst	bacteria	Duplodnaviria
Brevibacillus phage Jimmer1	bacteria	Duplodnaviria
Brevibacillus phage Jimmer2	bacteria	Duplodnaviria
Brevibacillus phage Osiris	bacteria	Duplodnaviria
Brevibacillus phage Sundance	bacteria	Duplodnaviria
Brevibacterium phage AGM1	bacteria	Duplodnaviria
Brevibacterium phage LuckyBarnes	bacteria	Duplodnaviria
Brochothrix phage A9	bacteria	Duplodnaviria
Brochothrix phage BL3	bacteria	Duplodnaviria
Brochothrix phage NF5	bacteria	Duplodnaviria
Brucella phage BiPBO1	bacteria	Duplodnaviria
Brucella phage Pr	bacteria	Duplodnaviria
Brucella phage Tb	bacteria	Duplodnaviria
Brussowvirus Sfi11	bacteria	Duplodnaviria
Brussowvirus bvO1205	bacteria	Duplodnaviria
Bruynoghevirus LUZ24	bacteria	Duplodnaviria
Bubaline alphaherpesvirus 1	vertebrates	Duplodnaviria
Bufonid herpesvirus 1	vertebrates	Duplodnaviria
Burkholderia phage AP3	bacteria	Duplodnaviria
Burkholderia phage Bcep1	bacteria	Duplodnaviria
Burkholderia phage Bcep176	bacteria	Duplodnaviria
Burkholderia phage Bcep43	bacteria	Duplodnaviria
Burkholderia phage Bcep781	bacteria	Duplodnaviria
Burkholderia phage BcepB1A	bacteria	Duplodnaviria
Burkholderia phage BcepC6B	bacteria	Duplodnaviria
Burkholderia phage BcepF1	bacteria	Duplodnaviria
Burkholderia phage BcepGomr	bacteria	Duplodnaviria
Burkholderia phage BcepIL02	bacteria	Duplodnaviria
Burkholderia phage BcepMigl	bacteria	Duplodnaviria
Burkholderia phage BcepMu	bacteria	Duplodnaviria
Burkholderia phage BcepNY3	bacteria	Duplodnaviria
Burkholderia phage BcepNazgul	bacteria	Duplodnaviria
Burkholderia phage BcepSaruman	bacteria	Duplodnaviria
Burkholderia phage BcepSauron	bacteria	Duplodnaviria
Burkholderia phage Bp-AMP1	bacteria	Duplodnaviria
Burkholderia phage DC1	bacteria	Duplodnaviria
Burkholderia phage JG068	bacteria	Duplodnaviria
Burkholderia phage KS10	bacteria	Duplodnaviria
Burkholderia phage KS14	bacteria	Duplodnaviria
Burkholderia phage KS5	bacteria	Duplodnaviria
Burkholderia phage KS9	bacteria	Duplodnaviria
Burkholderia phage ST79	bacteria	Duplodnaviria
Burkholderia phage phi1026b	bacteria	Duplodnaviria
Burkholderia phage phi644-2	bacteria	Duplodnaviria
Burkholderia phage phiE12-2	bacteria	Duplodnaviria
Burkholderia phage phiE125	bacteria	Duplodnaviria
Burkholderia phage phiE202	bacteria	Duplodnaviria
Burkholderia phage phiE255	bacteria	Duplodnaviria
Burkholderia phage vB_BceS_AH2	bacteria	Duplodnaviria
Burkholderia phage vB_BceS_KL1	bacteria	Duplodnaviria
Burkholderia phage vB_BmuP_KL4	bacteria	Duplodnaviria
Caeruleovirus BM15	bacteria	Duplodnaviria
Callitrichine gammaherpesvirus 3	vertebrates	Duplodnaviria
Campylobacter phage CP21	bacteria	Duplodnaviria
Campylobacter phage CP30A	bacteria	Duplodnaviria
Campylobacter phage CP81	bacteria	Duplodnaviria
Campylobacter phage CPX	bacteria	Duplodnaviria
Campylobacter phage NCTC12673	bacteria	Duplodnaviria
Campylobacter phage PC14	bacteria	Duplodnaviria
Campylobacter phage vB_CjeM_Los1	bacteria	Duplodnaviria
Canid alphaherpesvirus 1	vertebrates	Duplodnaviria
Caprine alphaherpesvirus 1	vertebrates	Duplodnaviria
Caprine gammaherpesvirus 2	vertebrates	Duplodnaviria
Carpasinavirus XcP1	bacteria	Duplodnaviria
Caulobacter phage CcrBL10	bacteria	Duplodnaviria
Caulobacter phage CcrBL9	bacteria	Duplodnaviria
Caulobacter phage CcrColossus	bacteria	Duplodnaviria
Caulobacter phage CcrPW	bacteria	Duplodnaviria
Caulobacter phage CcrRogue	bacteria	Duplodnaviria
Caulobacter phage CcrSC	bacteria	Duplodnaviria
Caulobacter phage CcrSwift	bacteria	Duplodnaviria
Caulobacter phage Cr30	bacteria	Duplodnaviria
Caulobacter phage Lullwater	bacteria	Duplodnaviria
Caulobacter phage Percy	bacteria	Duplodnaviria
Caulobacter phage Sansa	bacteria	Duplodnaviria
Caulobacter phage Seuss	bacteria	Duplodnaviria
Caulobacter phage phiCbK	bacteria	Duplodnaviria
Caulobacter virus Karma	bacteria	Duplodnaviria
Caulobacter virus Magneto	bacteria	Duplodnaviria
Caviid betaherpesvirus 2	vertebrates	Duplodnaviria
Cebine betaherpesvirus 1	vertebrates	Duplodnaviria
Ceduovirus c2	bacteria	Duplodnaviria
Celeribacter phage P12053L	bacteria	Duplodnaviria
Cellulophaga phage phi10:1	bacteria	Duplodnaviria
Cellulophaga phage phi12:1	bacteria	Duplodnaviria
Cellulophaga phage phi13:2	bacteria	Duplodnaviria
Cellulophaga phage phi14:2	bacteria	Duplodnaviria
Cellulophaga phage phi17:1	bacteria	Duplodnaviria
Cellulophaga phage phi17:2	bacteria	Duplodnaviria
Cellulophaga phage phi18:1	bacteria	Duplodnaviria
Cellulophaga phage phi18:3	bacteria	Duplodnaviria
Cellulophaga phage phi19:1	bacteria	Duplodnaviria
Cellulophaga phage phi19:3	bacteria	Duplodnaviria
Cellulophaga phage phi38:1	bacteria	Duplodnaviria
Cellulophaga phage phi39:1	bacteria	Duplodnaviria
Cellulophaga phage phi46:1	bacteria	Duplodnaviria
Cellulophaga phage phi46:3	bacteria	Duplodnaviria
Cellulophaga phage phi4:1	bacteria	Duplodnaviria
Cellulophaga phage phiSM	bacteria	Duplodnaviria
Cellulophaga phage phiST	bacteria	Duplodnaviria
Cercopithecine alphaherpesvirus 2	vertebrates	Duplodnaviria
Cercopithecine alphaherpesvirus 9	vertebrates	Duplodnaviria
Cercopithecine betaherpesvirus 5	human:vertebrates	Duplodnaviria
Papio ursinus cytomegalovirus	human:vertebrates	Duplodnaviria
Cervid alphaherpesvirus 1	vertebrates	Duplodnaviria
Cervid alphaherpesvirus 2	vertebrates	Duplodnaviria
Cervid alphaherpesvirus 3	vertebrates	Duplodnaviria
Chimpanzee herpesvirus strain 105640	vertebrates	Duplodnaviria
Chivirus chi	bacteria	Duplodnaviria
Salmonella phage Chi	bacteria	Duplodnaviria
Chivirus iEPS5	bacteria	Duplodnaviria
Salmonella phage TS13	bacteria	Duplodnaviria
Citexvirus phiCTX	bacteria	Duplodnaviria
Citrobacter phage CF1 DK-2017	bacteria	Duplodnaviria
Citrobacter phage CF1 ERZ-2017	bacteria	Duplodnaviria
Citrobacter phage CR44b	bacteria	Duplodnaviria
Citrobacter phage CVT22	bacteria	Duplodnaviria
Citrobacter phage IME-CF2	bacteria	Duplodnaviria
Citrobacter phage Margaery	bacteria	Duplodnaviria
Citrobacter phage Merlin	bacteria	Duplodnaviria
Citrobacter phage Michonne	bacteria	Duplodnaviria
Citrobacter phage Mordin	bacteria	Duplodnaviria
Citrobacter phage Miller	bacteria	Duplodnaviria
Citrobacter phage vB_CfrM_CfP1	bacteria	Duplodnaviria
Citrobacter phage Moogle	bacteria	Duplodnaviria
Citrobacter phage Moon	bacteria	Duplodnaviria
Citrobacter phage PhiZZ23	bacteria	Duplodnaviria
Citrobacter phage PhiZZ6	bacteria	Duplodnaviria
Citrobacter phage SH1	bacteria	Duplodnaviria
Citrobacter phage SH2	bacteria	Duplodnaviria
Citrobacter phage SH3	bacteria	Duplodnaviria
Citrobacter phage SH4	bacteria	Duplodnaviria
Citrobacter phage Sazh	bacteria	Duplodnaviria
Citrobacter phage Stevie	bacteria	Duplodnaviria
Citrobacter phage phiCFP-1	bacteria	Duplodnaviria
Citrobacter phage vB_CroM_CrRp10	bacteria	Duplodnaviria
Citrobacter phage vB_CroP_CrRp3	bacteria	Duplodnaviria
Clavibacter phage CMP1	bacteria	Duplodnaviria
Clavibacter phage CN1A	bacteria	Duplodnaviria
Clostridium phage CDKM15	bacteria	Duplodnaviria
Clostridium phage CDKM9	bacteria	Duplodnaviria
Clostridium phage CDMH1	bacteria	Duplodnaviria
Clostridium phage CPD2	bacteria	Duplodnaviria
Clostridium phage CPS1	bacteria	Duplodnaviria
Clostridium phage CPS2	bacteria	Duplodnaviria
Clostridium phage CpV1	bacteria	Duplodnaviria
Clostridium phage PhiS63	bacteria	Duplodnaviria
Clostridium phage c-st	bacteria	Duplodnaviria
Clostridium phage phi CD119	bacteria	Duplodnaviria
Clostridium phage phi24R	bacteria	Duplodnaviria
Clostridium phage phi3626	bacteria	Duplodnaviria
Clostridium phage phi8074-B1	bacteria	Duplodnaviria
Clostridium phage phiCD111	bacteria	Duplodnaviria
Clostridium phage phiCD146	bacteria	Duplodnaviria
Clostridium phage phiCD211	bacteria	Duplodnaviria
Clostridium phage phiCD38-2	bacteria	Duplodnaviria
Clostridium phage phiCD481-1	bacteria	Duplodnaviria
Clostridium phage phiCD505	bacteria	Duplodnaviria
Clostridium phage phiCD506	bacteria	Duplodnaviria
Clostridium phage phiCD6356	bacteria	Duplodnaviria
Clostridium phage phiCDHM11	bacteria	Duplodnaviria
Clostridium phage phiCDHM13	bacteria	Duplodnaviria
Clostridium phage phiCDHM14	bacteria	Duplodnaviria
Clostridium phage phiCDHM19	bacteria	Duplodnaviria
Clostridium phage phiCP13O	bacteria	Duplodnaviria
Clostridium phage phiCP26F	bacteria	Duplodnaviria
Clostridium phage phiCP34O	bacteria	Duplodnaviria
Clostridium phage phiCP39-O	bacteria	Duplodnaviria
Clostridium phage phiCP7R	bacteria	Duplodnaviria
Clostridium phage phiCPV4	bacteria	Duplodnaviria
Clostridium phage phiCT19406A	bacteria	Duplodnaviria
Clostridium phage phiCT19406B	bacteria	Duplodnaviria
Clostridium phage phiCT19406C	bacteria	Duplodnaviria
Clostridium phage phiCT453A	bacteria	Duplodnaviria
Clostridium phage phiCT453B	bacteria	Duplodnaviria
Clostridium phage phiCT9441A	bacteria	Duplodnaviria
Clostridium phage phiCTC2A	bacteria	Duplodnaviria
Clostridium phage phiCTC2B	bacteria	Duplodnaviria
Clostridium phage phiCTP1	bacteria	Duplodnaviria
Clostridium phage phiMMP01	bacteria	Duplodnaviria
Clostridium phage phiMMP02	bacteria	Duplodnaviria
Clostridium phage phiMMP03	bacteria	Duplodnaviria
Clostridium phage phiMMP04	bacteria	Duplodnaviria
Clostridium phage phiSM101	bacteria	Duplodnaviria
Clostridium phage phiZP2	bacteria	Duplodnaviria
Clostridium phage susfortuna	bacteria	Duplodnaviria
Clostridium phage vB_CpeS-CP51	bacteria	Duplodnaviria
Clostridium virus phiC2	bacteria	Duplodnaviria
Clostridium virus phiCD27	bacteria	Duplodnaviria
Columbid alphaherpesvirus 1	vertebrates	Duplodnaviria
Falconid herpesvirus 1	vertebrates	Duplodnaviria
Colwellia phage 9A	bacteria	Duplodnaviria
Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota	vertebrates	Duplodnaviria
Corynebacterium phage Adelaide	bacteria	Duplodnaviria
Corynebacterium phage BFK20	bacteria	Duplodnaviria
Corynebacterium phage C3PO	bacteria	Duplodnaviria
Corynebacterium phage Darwin	bacteria	Duplodnaviria
Corynebacterium phage Dina	bacteria	Duplodnaviria
Corynebacterium phage Juicebox	bacteria	Duplodnaviria
Corynebacterium phage Kimchi1738	bacteria	Duplodnaviria
Corynebacterium phage Lederberg	bacteria	Duplodnaviria
Corynebacterium phage SamW	bacteria	Duplodnaviria
Corynebacterium phage P1201	bacteria	Duplodnaviria
Corynebacterium phage Poushou	bacteria	Duplodnaviria
Corynebacterium phage StAB	bacteria	Duplodnaviria
Corynebacterium phage Stickynote	bacteria	Duplodnaviria
Corynebacterium phage Stiles	bacteria	Duplodnaviria
Corynebacterium phage Zion	bacteria	Duplodnaviria
Corynebacterium phage phi673	bacteria	Duplodnaviria
Corynebacterium phage phi674	bacteria	Duplodnaviria
Cricetid gammaherpesvirus 2	vertebrates	Duplodnaviria
Croceibacter phage P2559S	bacteria	Duplodnaviria
Croceibacter phage P2559Y	bacteria	Duplodnaviria
Cronobacter phage CR3	bacteria	Duplodnaviria
Cronobacter phage CR5	bacteria	Duplodnaviria
Cronobacter phage CR8	bacteria	Duplodnaviria
Cronobacter phage CR9	bacteria	Duplodnaviria
Cronobacter phage CS01	bacteria	Duplodnaviria
Cronobacter phage Dev-CD-23823	bacteria	Duplodnaviria
Cronobacter phage Dev2	bacteria	Duplodnaviria
Cronobacter phage ENT39118	bacteria	Duplodnaviria
Cronobacter phage ENT47670	bacteria	Duplodnaviria
Cronobacter phage ESP2949-1	bacteria	Duplodnaviria
Cronobacter phage ESSI-2	bacteria	Duplodnaviria
Cronobacter phage GW1	bacteria	Duplodnaviria
Cronobacter phage JC01	bacteria	Duplodnaviria
Cronobacter phage PBES 02	bacteria	Duplodnaviria
Cronobacter phage Pet-CM3-4	bacteria	Duplodnaviria
Cronobacter phage S13	bacteria	Duplodnaviria
Cronobacter phage phiES15	bacteria	Duplodnaviria
Cronobacter phage vB_CsaM_GAP161	bacteria	Duplodnaviria
Cronobacter phage vB_CsaM_GAP31	bacteria	Duplodnaviria
Cronobacter phage vB_CsaM_GAP32	bacteria	Duplodnaviria
Cronobacter phage vB_CsaM_leB	bacteria	Duplodnaviria
Cronobacter phage vB_CsaM_leE	bacteria	Duplodnaviria
Cronobacter phage vB_CsaP_009	bacteria	Duplodnaviria
Cronobacter phage vB_CsaP_GAP52	bacteria	Duplodnaviria
Cronobacter phage vB_CskP_GAP227	bacteria	Duplodnaviria
Curvibacter phage P26059B	bacteria	Duplodnaviria
Cyanophage 9515-10a	bacteria	Duplodnaviria
Cyanophage KBS-P-1A	bacteria	Duplodnaviria
Synechococcus phage S-RIP2	bacteria	Duplodnaviria
Cyanophage KBS-S-2A	bacteria	Duplodnaviria
Cyanophage NATL1A-7	bacteria	Duplodnaviria
Cyanophage NATL2A-133	bacteria	Duplodnaviria
Cyanophage P-SSP2	bacteria	Duplodnaviria
Cyanophage P-TIM40	bacteria	Duplodnaviria
Cyanophage PP	bacteria	Duplodnaviria
Cyanophage PSS2	bacteria	Duplodnaviria
Cyanophage S-RIM12	bacteria	Duplodnaviria
Prochlorococcus phage Syn33	bacteria	Duplodnaviria
Cyanophage S-RIM32	bacteria	Duplodnaviria
Cyanophage S-RIM44	bacteria	Duplodnaviria
Cyanophage S-RIM50	bacteria	Duplodnaviria
Cyanophage S-TIM4	bacteria	Duplodnaviria
Prochlorococcus phage P-RSM4	bacteria	Duplodnaviria
Cyanophage S-TIM5	bacteria	Duplodnaviria
Cyanophage SS120-1	bacteria	Duplodnaviria
Cynomolgus cytomegalovirus	vertebrates	Duplodnaviria
Cynomolgus macaque cytomegalovirus strain Ottawa	vertebrates	Duplodnaviria
Cyprinid herpesvirus 1	vertebrates	Duplodnaviria
Cyprinid herpesvirus 2	vertebrates	Duplodnaviria
Cyprinid herpesvirus 3	vertebrates	Duplodnaviria
Delftia phage IME-DE1	bacteria	Duplodnaviria
Delftia phage PhiW-14	bacteria	Duplodnaviria
Delftia phage RG-2014	bacteria	Duplodnaviria
Delislevirus P1	bacteria	Duplodnaviria
Detrevirus PMG1	bacteria	Duplodnaviria
Dhillonvirus JL1	bacteria	Duplodnaviria
Dhillonvirus SSL2009a	bacteria	Duplodnaviria
