virus	type	shape
Helicoverpa armigera iflavirus	RNA	linear
Bat sapovirus	RNA	linear
Human papillomavirus type 156	DNA	circular
Orbivirus SX-2017a	RNA	linear
Orbivirus SX-2017a	RNA	linear
Orbivirus SX-2017a	RNA	linear
Orbivirus SX-2017a	RNA	linear
Orbivirus SX-2017a	RNA	linear
Orbivirus SX-2017a	RNA	linear
Orbivirus SX-2017a	RNA	linear
Orbivirus SX-2017a	RNA	linear
Orbivirus SX-2017a	RNA	linear
Orbivirus SX-2017a	RNA	linear
Tomato leaf curl Burkina Faso virus	DNA	circular
Clematis chlorotic mottle virus	RNA	linear
Qinghai Himalayan marmot astrovirus 1	RNA	linear
Eidolon helvum papillomavirus 2	DNA	circular
Solanum nodiflorum mottle virus	RNA	linear
Xingshan nematode virus 4	RNA	linear
Xingshan nematode virus 2	RNA	linear
Wuhan spirurian nematodes virus 1	RNA	linear
Wuhan spider virus 9	RNA	linear
Wuhan spider virus 8	RNA	linear
Wuhan spider virus 7	RNA	linear
Wuhan spider virus 6	RNA	linear
Wuhan spider virus 5	RNA	linear
Wuhan spider virus 4	RNA	linear
Wuhan spider virus 3	RNA	linear
Wuhan poty-like virus 1	RNA	linear
Wuhan pillworm virus 3	RNA	linear
Wuhan pillworm virus 3	RNA	linear
Wuhan pillworm virus 2	RNA	linear
Wuhan nido-like virus 1	RNA	linear
Wuhan millipede virus 3	RNA	linear
Wuhan insect virus 9	RNA	linear
Wuhan insect virus 8	RNA	linear
Wuhan insect virus 35	RNA	linear
Wuhan insect virus 35	RNA	linear
Wuhan insect virus 34	RNA	linear
Wuhan insect virus 33	RNA	linear
Wuhan cricket virus 2	RNA	linear
Wuhan cricket virus 2	RNA	linear
Wuhan cricket virus 2	RNA	linear
Wuhan cricket virus 2	RNA	linear
Wuhan cricket virus 2	RNA	linear
Wuhan cricket virus 2	RNA	linear
Hubei myriapoda virus 9	RNA	linear
Hubei myriapoda virus 9	RNA	linear
Hubei myriapoda virus 5	RNA	linear
Hubei myriapoda virus 5	RNA	linear
Hubei myriapoda virus 5	RNA	linear
Beihai shrimp virus 3	RNA	linear
Beihai shrimp virus 3	RNA	linear
Beihai shrimp virus 3	RNA	linear
Bamaga virus	RNA	linear
Phomopsis longicolla RNA virus 1	RNA	linear
Pepper chlorotic spot virus	RNA	linear
Pepper chlorotic spot virus	RNA	linear
Pepper chlorotic spot virus	RNA	linear
Eidolon helvum papillomavirus 3	DNA	circular
Avon-Heathcote estuary associated bacilladnavirus	DNA	circular
Amphibola crenata associated bacilladnavirus 2	DNA	circular
Amphibola crenata associated bacilladnavirus 1	DNA	circular
Thrips-associated genomovirus 4	DNA	circular
Thrips-associated genomovirus 3	DNA	circular
Thrips-associated genomovirus 2	DNA	circular
Thrips-associated genomovirus 1	DNA	circular
Cacao yellow vein banding virus	DNA	circular
Cacao mild mosaic virus	DNA	circular
Jingmen tombus-like virus 2	RNA	linear
Enterovirus AN12	RNA	linear
Ubei picorna-like virus 3	RNA	linear
Zhejiang mosquito virus 1	RNA	linear
Xinzhou toro-like virus	RNA	linear
Xinzhou nematode virus 7	RNA	linear
Xinzhou nematode virus 5	RNA	linear
Xinzhou nematode virus 4	RNA	linear
Xinzhou nematode virus 3	RNA	linear
Xinzhou nematode virus 3	RNA	linear
Xinzhou nematode virus 2	RNA	linear
Xinzhou nematode virus 1	RNA	linear
Xinzhou dimarhabdovirus virus 1	RNA	linear
Xingshan nematode virus 6	RNA	linear
Xingshan nematode virus 5	RNA	linear
Xingshan nematode virus 5	RNA	linear
MW polyomavirus	DNA	circular
Gooseberry vein banding associated virus	DNA	circular
Bat dicibavirus	RNA	linear
Bat iflavirus	RNA	linear
Bat sapelovirus	RNA	linear
Peach virus D	RNA	linear
Munguba virus	RNA	linear
Munguba virus	RNA	linear
Munguba virus	RNA	linear
Wuhan insect virus 22	RNA	linear
Wuhan insect virus 22	RNA	linear
Wuhan insect virus 12	RNA	linear
Jingmen tombus-like virus 1	RNA	linear
Beihai picorna-like virus 59	RNA	linear
Beihai picorna-like virus 57	RNA	linear
Melon severe mosaic tospovirus	RNA	linear
Melon severe mosaic tospovirus	RNA	linear
Melon severe mosaic tospovirus	RNA	linear
Qinghai Himalayan marmot astrovirus 2	RNA	linear
Cassava satellite virus	RNA	linear
SFTS virus HB29	RNA	linear
SFTS virus HB29	RNA	linear
SFTS virus HB29	RNA	linear
Citrus chlorotic dwarf associated virus	DNA	circular
Cucurbit chlorotic yellows virus	RNA	linear
Cucurbit chlorotic yellows virus	RNA	linear
Potato virus H	RNA	linear
Arracacha mottle virus	RNA	linear
Xishuangbanna aedes flavivirus	RNA	linear
Pasivirus A1	RNA	linear
Otarine picobirnavirus	RNA	linear
Otarine picobirnavirus	RNA	linear
Piura virus	RNA	linear
Loreto virus	RNA	linear
Pepper cryptic virus 2	RNA	linear
Pepper cryptic virus 2	RNA	linear
Peach rosette mosaic virus	RNA	linear
Peach rosette mosaic virus	RNA	linear
Circovirus sp.	DNA	circular
Lagenaria siceraria endornavirus-Hubei	RNA	linear
Pityohyphantes rubrofasciatus iflavirus	RNA	linear
Rousettus aegyptiacus polyomavirus 1	DNA	circular
Rhinolophus hildebrandtii polyomavirus 1	DNA	circular
Miniopterus schreibersii polyomavirus 2	DNA	circular
Miniopterus schreibersii polyomavirus 1	DNA	circular
Mogiana tick virus	RNA	linear
Mogiana tick virus	RNA	linear
Mogiana tick virus	RNA	linear
Mogiana tick virus	RNA	linear
Tomato yellow mottle-associated virus	RNA	linear
Ixeridium yellow mottle virus 2	RNA	linear
Amazon lily mild mottle virus	RNA	linear
Amazon lily mild mottle virus	RNA	linear
Amazon lily mild mottle virus	RNA	linear
Gyrovirus 4	DNA	circular
Orthohepevirus D	RNA	linear
Sibine fusca densovirus	DNA	linear
Grapevine Anatolian ringspot virus	RNA	linear
Grapevine Anatolian ringspot virus	RNA	linear
Tobacco virus 2	RNA	linear
Columbid alphaherpesvirus 1	DNA	linear
Enterovirus goat/JL14	RNA	linear
LI polyomavirus	DNA	circular
Cowpea polerovirus 2	RNA	linear
Cowpea polerovirus 1	RNA	linear
Tomato leaf curl Pakistan betasatellite	DNA	circular
Bovine rhinovirus 1	RNA	linear
Dhori thogotovirus	RNA	linear
Dhori thogotovirus	RNA	linear
Dhori thogotovirus	RNA	linear
Dhori thogotovirus	RNA	linear
Dhori thogotovirus	RNA	linear
Dhori thogotovirus	RNA	linear
Wisteria badnavirus 1	DNA	circular
Vicugna pacos polyomavirus 1	DNA	circular
Arracacha virus V	RNA	linear
Endive necrotic mosaic virus	RNA	linear
Sweet potato C6 virus	RNA	linear
Papilio polyxenes densovirus	DNA	linear
Papaya lethal yellowing virus	RNA	linear
Soybean chlorotic spot virus	DNA	circular
Soybean chlorotic spot virus	DNA	circular
Grapevine virus F	RNA	linear
CAS virus	RNA	linear
CAS virus	RNA	linear
Golden Gate virus	RNA	linear
Golden Gate virus	RNA	linear
Chinese yam necrotic mosaic virus	RNA	linear
Sathuperi orthobunyavirus	RNA	linear
Sathuperi orthobunyavirus	RNA	linear
Sathuperi orthobunyavirus	RNA	linear
Aino virus	RNA	linear
Aino virus	RNA	linear
Aino virus	RNA	linear
Shamonda orthobunyavirus	RNA	linear
Shamonda orthobunyavirus	RNA	linear
Shamonda orthobunyavirus	RNA	linear
Simbu orthobunyavirus	RNA	linear
Simbu orthobunyavirus	RNA	linear
Simbu orthobunyavirus	RNA	linear
Cassava virus X	RNA	linear
Raccoon-associated polyomavirus 2	DNA	circular
Watermelon virus A	RNA	linear
Pepper virus A	RNA	linear
Miniopterus schreibersii picornavirus 1	RNA	linear
Diamondback moth iflavirus	RNA	linear
Dragonfly larvae associated circular virus-9	DNA	circular
Dragonfly larvae associated circular virus-8	DNA	circular
Dragonfly larvae associated circular virus-7	DNA	circular
Dragonfly larvae associated circular virus-6	DNA	circular
Dragonfly larvae associated circular virus-5	DNA	circular
Dragonfly larvae associated circular virus-3	DNA	circular
Dragonfly larvae associated circular virus-2	DNA	circular
Dragonfly larvae associated circular virus-4	DNA	circular
Dragonfly larvae associated circular virus-1	DNA	circular
Dragonfly larvae associated circular virus-10	DNA	circular
Cotton yellow mosaic virus	DNA	circular
Cotton yellow mosaic virus	DNA	circular
Chayote yellow mosaic Benin betasatellite	DNA	circular
Tospovirus kiwifruit/YXW/2014	RNA	linear
Tospovirus kiwifruit/YXW/2014	RNA	linear
Tospovirus kiwifruit/YXW/2014	RNA	linear
Sclerotinia nivalis victorivirus 1	RNA	linear
Chaetoceros sp. DNA virus 7	DNA	linear
Buzura suppressaria nucleopolyhedrovirus	DNA	circular
Wallerfield virus	RNA	linear
Ageratum yellow vein China alphasatellite	DNA	circular
Cronartium ribicola mitovirus 3	RNA	linear
Cronartium ribicola mitovirus 2	RNA	linear
Cronartium ribicola mitovirus 1	RNA	linear
Maize-associated totivirus 2	RNA	linear
Nakiwogo virus	RNA	linear
Ungulate bocaparvovirus 6	DNA	linear
Etheostoma fonticola aquareovirus	RNA	linear
Etheostoma fonticola aquareovirus	RNA	linear
Etheostoma fonticola aquareovirus	RNA	linear
Etheostoma fonticola aquareovirus	RNA	linear
Etheostoma fonticola aquareovirus	RNA	linear
Etheostoma fonticola aquareovirus	RNA	linear
Etheostoma fonticola aquareovirus	RNA	linear
Etheostoma fonticola aquareovirus	RNA	linear
Etheostoma fonticola aquareovirus	RNA	linear
Etheostoma fonticola aquareovirus	RNA	linear
Etheostoma fonticola aquareovirus	RNA	linear
Wild onion symptomless virus	RNA	linear
Cronartium ribicola mitovirus 5	RNA	linear
Cronartium ribicola mitovirus 4	RNA	linear
Gemycircularvirus HV-GcV1	DNA	circular
Gemycircularvirus HV-GcV2	DNA	circular
Pseudogymnoascus destructans partitivirus-pa	RNA	linear
Pseudogymnoascus destructans partitivirus-pa	RNA	linear
Chimpanzee faeces associated microphage 3	DNA	circular
Chimpanzee faeces associated microphage 1	DNA	circular
Canna yellow mottle associated virus	DNA	circular
Carrot mottle mimic virus satellite RNA	RNA	linear
Rhizoctonia solani flexivirus 1	RNA	linear
Yacon virus A	RNA	linear
Pigeonpea sterility mosaic emaravirus 2	RNA	linear
Pigeonpea sterility mosaic emaravirus 2	RNA	linear
Pigeonpea sterility mosaic emaravirus 2	RNA	linear
Pigeonpea sterility mosaic emaravirus 2	RNA	linear
Pigeonpea sterility mosaic emaravirus 2	RNA	linear
Pigeonpea sterility mosaic emaravirus 2	RNA	linear
Fusarium graminearum deltaflexivirus 1	RNA	linear
Nylanderia fulva virus 1	RNA	linear
Gorilla anellovirus	DNA	linear
Carrot mottle virus satellite RNA	RNA	linear
Atypical porcine pestivirus 1	RNA	linear
Grapevine Red Globe virus	RNA	linear
Picornavirales Bu-3	RNA	linear
Ramie mosaic Yunnan virus	DNA	circular
Variegated squirrel bornavirus 1	RNA	linear
Picornavirales Bu-1	RNA	linear
Picornavirales Tottori-HG1	RNA	linear
Gompholobium virus A	RNA	linear
Malvastrum yellow vein Honghe virus	DNA	circular
Senna leaf curl virus	DNA	circular
Senna mosaic virus	RNA	linear
Alternaria arborescens mitovirus 1	RNA	linear
Wuhan Insect virus 2	RNA	linear
Wuhan Insect virus 2	RNA	linear
Bovine calicivirus strain Kirklareli	RNA	linear
Bos taurus papillomavirus 21	DNA	circular
Bos taurus papillomavirus 20	DNA	circular
Bos taurus papillomavirus 19	DNA	circular
Bos taurus papillomavirus 18	DNA	circular
Bos taurus papillomavirus 17	DNA	circular
Bos taurus papillomavirus 16	DNA	circular
Bos taurus papillomavirus 13	DNA	circular
Callistephus mottle virus	RNA	linear
Sparus aurata polyomavirus 1	DNA	linear
Sea otter parvovirus 1	DNA	linear
Coccinia mottle virus	RNA	linear
Barbacena virus Y	RNA	linear
Sparus aurata papillomavirus 1	DNA	linear
Bat tymo-like virus	RNA	linear
Washington bat picornavirus	RNA	linear
Mamastrovirus 1	RNA	linear
Jasmine virus C	RNA	linear
Rosellinia necatrix endornavirus 1	RNA	linear
Fusarium poae mitovirus 4	RNA	linear
Fusarium poae mitovirus 3	RNA	linear
Fusarium poae mitovirus 2	RNA	linear
Fusarium poae mitovirus 1	RNA	linear
Mink bocavirus 1	DNA	linear
Sophora japonica powdery mildew-associated partitivirus	RNA	linear
Sophora japonica powdery mildew-associated partitivirus	RNA	linear
Fusarium poae negative-stranded virus 2	RNA	linear
Fusarium poae negative-stranded virus 1	RNA	linear
Fusarium poae mycovirus 2	RNA	linear
Fusarium poae mycovirus 1	RNA	linear
Fusarium poae fusarivirus 1	RNA	linear
Fusarium poae victorivirus 1	RNA	linear
Fusarium poae virus 1-240374	RNA	linear
Fusarium poae virus 1-240374	RNA	linear
Fusarium poae partitivirus 2	RNA	linear
Fusarium poae partitivirus 2	RNA	linear
Fusarium poae narnavirus 2	RNA	linear
Fusarium poae narnavirus 1	RNA	linear
Common bean-associated gemycircularvirus	DNA	circular
Sanxia Water Strider Virus 5	RNA	linear
Sanxia water strider virus 4	RNA	linear
Sanxia Water Strider Virus 1	RNA	linear
Sanxia Water Strider Virus 1	RNA	linear
Huangpi Tick Virus 3	RNA	linear
Huangpi Tick Virus 2	RNA	linear
Huangpi Tick Virus 2	RNA	linear
Huangpi Tick Virus 1	RNA	linear
Huangpi Tick Virus 1	RNA	linear
Bole Tick Virus 2	RNA	linear
Cannabis cryptic virus	RNA	linear
Cannabis cryptic virus	RNA	linear
Rosavirus C	RNA	linear
Rosavirus B	RNA	linear
Ligustrum virus A	RNA	linear
Shuangao Insect Virus 1	RNA	linear
Shuangao Insect Virus 1	RNA	linear
Shuangao Bedbug Virus 2	RNA	linear
Shayang Spider Virus 1	RNA	linear
Shayang Spider Virus 1	RNA	linear
Shayang Fly Virus 3	RNA	linear
Shayang Fly Virus 2	RNA	linear
Shayang Fly Virus 1	RNA	linear
Xincheng Mosquito Virus	RNA	linear
Wuhan Insect virus 4	RNA	linear
Wuhan House Fly Virus 2	RNA	linear
Wuhan House Fly Virus 1	RNA	linear
Wuhan Fly Virus 2	RNA	linear
Wuhan Fly Virus 1	RNA	linear
Wuhan Fly Virus 1	RNA	linear
Wuhan Ant Virus	RNA	linear
Wuchang Cockroach Virus 1	RNA	linear
Wuchang Cockroach Virus 1	RNA	linear
Wenzhou Shrimp Virus 1	RNA	linear
Wenzhou Shrimp Virus 1	RNA	linear
Wenzhou Tick Virus	RNA	linear
Wenzhou Tick Virus	RNA	linear
Wenzhou Crab Virus 3	RNA	linear
Wenzhou Crab Virus 1	RNA	linear
Taishun Tick Virus	RNA	linear
Tacheng Tick Virus 7	RNA	linear
Tacheng Tick Virus 6	RNA	linear
Tacheng Tick Virus 3	RNA	linear
Tacheng Tick Virus 1	RNA	linear
Tacheng Tick Virus 1	RNA	linear
Lishi Spider Virus 2	RNA	linear
Wuhan Louse Fly Virus 10	RNA	linear
Wuhan Insect virus 7	RNA	linear
Wuhan Insect virus 6	RNA	linear
Wuhan Insect virus 5	RNA	linear
Wuhan Louse Fly Virus 5	RNA	linear
Wuhan horsefly Virus	RNA	linear
Wuhan horsefly Virus	RNA	linear
Wuhan horsefly Virus	RNA	linear
Wuhan Tick Virus 1	RNA	linear
Wuhan Mosquito Virus 9	RNA	linear
Wuhan Mosquito Virus 2	RNA	linear
Wuhan Mosquito Virus 2	RNA	linear
Wuhan mosquito virus 1	RNA	linear
Wuhan mosquito virus 1	RNA	linear
Wuhan Louse Fly Virus 9	RNA	linear
Synedrella leaf curl virus	DNA	circular
Yongjia Tick Virus 2	RNA	linear
Yichang Insect virus	RNA	linear
Yichang Insect virus	RNA	linear
Wutai mosquito phasivirus	RNA	linear
Wutai mosquito phasivirus	RNA	linear
Simian retrovirus 8	RNA	linear
Anopheles flavivirus variant 1	RNA	linear
Winged bean alphaendornavirus 1	RNA	linear
Moku virus	RNA	linear
Euphorbia ringspot virus	RNA	linear
Grapevine geminivirus A	DNA	circular
Privet leaf blotch-associated virus	RNA	linear
Privet leaf blotch-associated virus	RNA	linear
Macroptilium common mosaic virus	DNA	circular
Macroptilium common mosaic virus	DNA	circular
Wissadula yellow mosaic virus	DNA	circular
Ceratobasidium endornavirus D	RNA	linear
Parus major densovirus	DNA	linear
Malvastrum bright yellow mosaic virus	DNA	circular
Malvastrum bright yellow mosaic virus	DNA	circular
Sida chlorotic vein virus	DNA	circular
Sida chlorotic vein virus	DNA	circular
Sida angular mosaic virus	DNA	circular
Sida angular mosaic virus	DNA	circular
Macroptilium bright mosaic virus	DNA	circular
Ceratobasidium endornavirus C	RNA	linear
Ceratobasidium endornavirus G	RNA	linear
Ceratobasidium endornavirus B	RNA	linear
Ceratobasidium endornavirus A	RNA	linear
Lisianthus enation leaf curl virus	DNA	circular
Tetraparvovirus sp.	DNA	linear
Rhinolophus sinicus bocaparvovirus	DNA	circular
Grapevine asteroid mosaic associated virus	RNA	linear
Centovirus AC	RNA	linear
Orgi virus	RNA	linear
Gata virus	RNA	linear
Mosquito dicistrovirus	RNA	linear
Antheraea pernyi iflavirus	RNA	linear
White clover mottle virus	RNA	linear
Zucchini lethal chlorosis virus	RNA	linear
Zucchini lethal chlorosis virus	RNA	linear
Zucchini lethal chlorosis virus	RNA	linear
Polyomavirus sp.	DNA	circular
Botrytis cinerea betaendornavirus 1	RNA	linear
Equus caballus papillomavirus 8	DNA	circular
Okra enation leaf curl virus	DNA	circular
Riptortus pedestris virus-1	RNA	linear
King virus	RNA	linear
Amdoparvovirus sp.	DNA	linear
Porcine circovirus 3	DNA	circular
Cotton leaf curl virus	DNA	circular
Dioscorea mosaic associated virus	RNA	linear
Dioscorea mosaic associated virus	RNA	linear
Passionfruit leaf distortion virus	DNA	circular
Passionfruit leaf distortion virus	DNA	circular
Anticarsia gemmatalis multiple nucleopolyhedrovirus	DNA	circular
Cherry associated luteovirus	RNA	linear
Pomona leaf-nosed bat associated polyomavirus	DNA	circular
Spheniscid alphaherpesvirus 1	DNA	linear
Lleida bat lyssavirus	RNA	linear
Sugarcane chlorotic streak virus	DNA	circular
Common bean severe mosaic virus	DNA	circular
Nigrospora oryzae fusarivirus 1	RNA	linear
Gannoruwa bat lyssavirus	RNA	linear
Rattus norvegicus polyomavirus 2	DNA	circular
Tomato mottle leaf curl virus	DNA	circular
Euscelidius variegatus virus 1	RNA	linear
Saccharomyces kudriavzevii virus L-A1	RNA	linear
Arachis pintoi virus	RNA	linear
NL63-related bat coronavirus	RNA	linear
Vernonia crinkle virus	DNA	circular
Bivalve RNA virus G3	RNA	linear
Bivalve RNA virus G5	RNA	linear
Bivalve RNA virus G1	RNA	linear
Vernonia crinkle betasatellite	DNA	circular
Leptonychotes weddellii polyomavirus 1	DNA	circular
Bivalve RNA virus G4	RNA	linear
Bivalve RNA virus G2	RNA	linear
Bivalve hepelivirus G	RNA	linear
Rhizoctonia solani dsRNA virus 3	RNA	linear
Rhizoctonia solani dsRNA virus 3	RNA	linear
Hubei narna-like virus 24	RNA	linear
Beihai hepe-like virus 4	RNA	linear
Beihai barnacle virus 13	RNA	linear
Beihai barnacle virus 13	RNA	linear
Beihai sphaeromadae virus 3	RNA	linear
Beihai sphaeromadae virus 3	RNA	linear
Xinzhou partiti-like virus 1	RNA	linear
Xinzhou partiti-like virus 1	RNA	linear
Wuhan spider virus 2	RNA	linear
Wuhan large pig roundworm virus 1	RNA	linear
Wuhan large pig roundworm virus 1	RNA	linear
Wuhan insect virus 23	RNA	linear
Wuhan insect virus 23	RNA	linear
Wenling crustacean virus 9	RNA	linear
Wenling crustacean virus 9	RNA	linear
Wenling crustacean virus 9	RNA	linear
Shahe heteroptera virus 3	RNA	linear
Shahe heteroptera virus 3	RNA	linear
Shahe heteroptera virus 3	RNA	linear
Shahe hepe-like virus 2	RNA	linear
Hubei partiti-like virus 11	RNA	linear
Hubei partiti-like virus 11	RNA	linear
Hubei odonate virus 9	RNA	linear
Hubei odonate virus 9	RNA	linear
Hubei odonate virus 9	RNA	linear
Hubei odonate virus 8	RNA	linear
Hubei odonate virus 8	RNA	linear
Hubei odonate virus 8	RNA	linear
Hubei insect virus 2	RNA	linear
Hubei insect virus 2	RNA	linear
Hubei insect virus 2	RNA	linear
Hubei insect virus 2	RNA	linear
Hubei insect virus 2	RNA	linear
Hubei insect virus 2	RNA	linear
Hubei insect virus 2	RNA	linear
Hubei insect virus 2	RNA	linear
Hubei insect virus 2	RNA	linear
Hubei insect virus 2	RNA	linear
Hubei diptera virus 3	RNA	linear
Hubei diptera virus 3	RNA	linear
Hubei diptera virus 3	RNA	linear
Hubei diptera virus 18	RNA	linear
Hubei diptera virus 18	RNA	linear
Beihai mollusks virus 1	RNA	linear
Beihai noda-like virus 18	RNA	linear
Sida yellow vein China alphasatellite	DNA	circular
Hibiscus bacilliform virus GD1	DNA	circular
Inachis io cypovirus 2	RNA	linear
Inachis io cypovirus 2	RNA	linear
Inachis io cypovirus 2	RNA	linear
Inachis io cypovirus 2	RNA	linear
Inachis io cypovirus 2	RNA	linear
Inachis io cypovirus 2	RNA	linear
Inachis io cypovirus 2	RNA	linear
Inachis io cypovirus 2	RNA	linear
Inachis io cypovirus 2	RNA	linear
Inachis io cypovirus 2	RNA	linear
Saimiri sciureus papillomavirus 1	DNA	circular
Milk vetch dwarf C2 alphasatellite	DNA	circular
Beihai permutotetra-like virus 2	RNA	linear
Beihai picorna-like virus 5	RNA	linear
Shahe hepe-like virus 1	RNA	linear
Indian encephalitis associated cyclovirus	DNA	circular
Beihai tombus-like virus 19	RNA	linear
Hubei sobemo-like virus 15	RNA	linear
Hubei sobemo-like virus 14	RNA	linear
Hubei sobemo-like virus 13	RNA	linear
Hubei sobemo-like virus 12	RNA	linear
Hubei sobemo-like virus 11	RNA	linear
Hubei sobemo-like virus 10	RNA	linear
Hubei sobemo-like virus 1	RNA	linear
Hubei polero-like virus 1	RNA	linear
Hubei picorna-like virus 82	RNA	linear
Hubei picorna-like virus 46	RNA	linear
