virus	type	shape
Sclerotinia sclerotiorum botybirnavirus 1	RNA	linear
Okahandja mammarenavirus	RNA	linear
Okahandja mammarenavirus	RNA	linear
Mariental mammarenavirus	RNA	linear
Mariental mammarenavirus	RNA	linear
Hollyhock yellow vein mosaic Islamabad virus	DNA	circular
Ampivirus A1	RNA	linear
Camponotus yamaokai virus	RNA	linear
Tomato yellow leaf curl Mali virus	DNA	circular
Beauveria bassiana RNA virus 1	RNA	linear
Astrovirus Er/SZAL6/HUN/2011	RNA	linear
Ustilaginoidea virens unassigned RNA virus HNND-1	RNA	linear
Portulaca latent viroid	RNA	circular
Chilli leaf curl India alphasatellite	DNA	circular
Gyrovirus GyV8	DNA	circular
Bearded dragon parvovirus	DNA	linear
Chenuda virus	RNA	linear
Chenuda virus	RNA	linear
Chenuda virus	RNA	linear
Chenuda virus	RNA	linear
Chenuda virus	RNA	linear
Chenuda virus	RNA	linear
Chenuda virus	RNA	linear
Chenuda virus	RNA	linear
Chenuda virus	RNA	linear
Chenuda virus	RNA	linear
Fusarium oxysporum f. sp. dianthi mycovirus 1	RNA	linear
Fusarium oxysporum f. sp. dianthi mycovirus 1	RNA	linear
Fusarium oxysporum f. sp. dianthi mycovirus 1	RNA	linear
Fusarium oxysporum f. sp. dianthi mycovirus 1	RNA	linear
Chobar Gorge virus	RNA	linear
Lutzomyia reovirus 1	RNA	linear
Lutzomyia reovirus 1	RNA	linear
Lutzomyia reovirus 1	RNA	linear
Lutzomyia reovirus 1	RNA	linear
Lutzomyia reovirus 1	RNA	linear
Lutzomyia reovirus 1	RNA	linear
Lutzomyia reovirus 1	RNA	linear
Lutzomyia reovirus 1	RNA	linear
Lutzomyia reovirus 1	RNA	linear
Pan troglodytes troglodytes polyomavirus 1	DNA	circular
Human papillomavirus 201	DNA	circular
Pea streak virus	RNA	linear
Wad Medani virus	RNA	linear
Wad Medani virus	RNA	linear
Wad Medani virus	RNA	linear
Wad Medani virus	RNA	linear
Wad Medani virus	RNA	linear
Wad Medani virus	RNA	linear
Wad Medani virus	RNA	linear
Wad Medani virus	RNA	linear
Wad Medani virus	RNA	linear
Wad Medani virus	RNA	linear
Rattus norvegicus polyomavirus 1	DNA	circular
Cyclovirus TsCyV-1_JP-NUBS-2014	DNA	linear
Varroa Tymo-like virus	RNA	linear
Gokushovirinae Bog8989_22	DNA	circular
Gokushovirinae Bog5712_52	DNA	circular
Microviridae Bog5275_51	DNA	circular
Microviridae Bog1249_12	DNA	circular
Gokushovirinae Bog1183_53	DNA	circular
Bee Macula-like virus	RNA	linear
Microviridae Fen7940_21	DNA	circular
Microviridae Fen7918_21	DNA	circular
Microviridae Fen7895_21	DNA	circular
Gokushovirinae Fen7875_21	DNA	circular
Microviridae Fen7786_21	DNA	circular
Microviridae Fen685_11	DNA	circular
Gokushovirinae Fen672_31	DNA	circular
Microviridae Fen4707_41	DNA	circular
Microviridae Fen418_41	DNA	circular
Microviridae Fen2266_11	DNA	circular
Microviridae Bog9017_22	DNA	circular
Trichomonas vaginalis virus 1	RNA	linear
Alfalfa leaf curl virus	DNA	circular
Opium poppy mosaic virus	RNA	linear
Tobacco virus 1	RNA	linear
Bombyx mori iflavirus	RNA	linear
Lettuce Italian necrotic virus	RNA	linear
Dromedary astrovirus	RNA	linear
Trichomonas vaginalis virus dsRNA satellite S1	RNA	linear
Luffa aphid-borne yellows virus	RNA	linear
Chrysanthemum stem necrosis virus	RNA	linear
Chrysanthemum stem necrosis virus	RNA	linear
Chrysanthemum stem necrosis virus	RNA	linear
Poecile atricapillus GI tract-associated gemycircularvirus	DNA	circular
Rat associated porprismacovirus 1	DNA	circular
Littorina sp. associated circular virus	DNA	circular
Hermit crab associated circular virus	DNA	circular
Gammarus sp. amphipod associated circular virus	DNA	circular
Fiddler Crab associated circular virus	DNA	circular
Farfantepenaeus duorarum pink shrimp associated circular virus	DNA	circular
Didemnum sp. Sea Squirt associated virus	DNA	circular
Callinectes sapidus associated circular virus	DNA	circular
Callinectes ornatus blue crab associated circular virus	DNA	circular
Calanoida sp. copepod associated circular virus	DNA	circular
Artemia melana sponge associated circular genome	DNA	circular
Aiptasia sp. sea anemone associated circular virus	DNA	circular
Grapevine Cabernet Sauvignon reovirus	RNA	linear
Grapevine Cabernet Sauvignon reovirus	RNA	linear
Grapevine Cabernet Sauvignon reovirus	RNA	linear
Grapevine Cabernet Sauvignon reovirus	RNA	linear
Grapevine Cabernet Sauvignon reovirus	RNA	linear
Grapevine Cabernet Sauvignon reovirus	RNA	linear
Grapevine Cabernet Sauvignon reovirus	RNA	linear
Grapevine Cabernet Sauvignon reovirus	RNA	linear
Grapevine Cabernet Sauvignon reovirus	RNA	linear
Grapevine Cabernet Sauvignon reovirus	RNA	linear
Fengkai orbivirus	RNA	linear
Fengkai orbivirus	RNA	linear
Fengkai orbivirus	RNA	linear
Fengkai orbivirus	RNA	linear
Fengkai orbivirus	RNA	linear
Fengkai orbivirus	RNA	linear
Fengkai orbivirus	RNA	linear
Fengkai orbivirus	RNA	linear
Fengkai orbivirus	RNA	linear
Fengkai orbivirus	RNA	linear
Human papillomavirus	DNA	circular
Hermit crab associated circular genome	DNA	circular
Sicyonia brevirostris associated circular virus	DNA	circular
Primnoa pacifica coral associated circular virus	DNA	circular
Petrochirus diogenes giant hermit crab associated circular virus	DNA	circular
Paramuricea placomus associated circular virus	DNA	circular
Palaemonetes sp. common grass shrimp associated circular virus	DNA	circular
Palaemonetes kadiakensis Mississippi grass shrimp associated	DNA	circular
Palaemonetes intermedius brackish grass shrimp associated circular	DNA	circular
Mytilus sp. clam associated circular virus	DNA	circular
Marine snail associated circular virus	DNA	circular
Lytechinus variegatus variable sea urchin associated circular virus	DNA	circular
Verticillium dahliae partitivirus 1	RNA	linear
Verticillium dahliae partitivirus 1	RNA	linear
Testudinid alphaherpesvirus 3	DNA	linear
Bellflower vein chlorosis virus	RNA	linear
Gemycircularvirus gemy-ch-rat1	DNA	circular
Phopivirus	RNA	linear
Poaceae associated gemycircularvirus 1	DNA	circular
Hot pepper alphaendornavirus	RNA	linear
Canary bornavirus 1	RNA	linear
Myotis gammaherpesvirus 8	DNA	linear
Atractylodes mild mottle virus	DNA	circular
Perigonia lusca single nucleopolyhedrovirus	DNA	circular
Opsiphanes invirae iflavirus 1	RNA	linear
Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN	RNA	linear
Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN	RNA	linear
Tomato necrotic dwarf virus	RNA	linear
Tomato necrotic dwarf virus	RNA	linear
